Prej ali slej, na koncu se vedno zbudiš.; Toda prej ali slej se moraš zbuditi.
V kriogenski komori ne sanjaš ničesar.; V kriospanju sploh ne sanjaš.
Ne občutiš, da je minilo šest let.; Ne zdi se kot šest let.
Tommy je bil znanstvenik, ne pa jaz.; Tommy je bil znanstvenik, ne jaz.
On je bil ta, ki je hotel potovati svetlobna leta daleč, da bi našel odgovore.; On je hotel potovati v vesolje in najti odgovore.
Smo že prispeli?; Smo že tam?
Ja, tukaj smo, sonček.; Smo, sonček.
Za tvojega brata gre.; Za vašega brata gre.
V krio komori ste bili pet let, devet mesecev in 22 dni.; V kriu ste bili 5 let, 9 mesecev in 22 dni.
Lačni boste in slabotni.; Lačni in šibki boste.
Tommy je bil znanstvenik.; Ja, Tommy je bil znanstvenik.
Jaz sem samo še en bedak, ki gre nekam, kjer bo to obžaloval.; Jaz sem samo pešak, ki gre nekam, kamor si ne želi.
Pred nami je Pandora.; Pred nami je bila Pandora.
Ko sem odraščal, sem slišal o njej.; Slišal sem o njej, nisem pa si mislil, da bom šel tja.
Nisem pa si mislil, da bom kdaj šel tja.; Slišal sem o njej, nisem pa si mislil, da bom šel tja.
To bo svež začetek na novem svetu.; To bi bil nov začetek na novem svetu.
Tudi plačilo je dobro.; In plačilo je dobro.
Eno življenje se konča drugo pa se začne.; Eno življenje se konča, drugo začne.
Ko se spustimo pojdite naravnost v bazo, brez ustavljanja!; Ko se rampa spusti, pojdite naravnost v bazo.
Rekel sem si, da bom prestal vsak test, ki ga lahko človek prestane.; Rekel sem si, da lahko opravim vsak test.
Gremo, posebni primer, ne pusti me čakati.; Gremo, posebni primer. Ne bom te čakal.
Glej vse to sveže meso.; Poglej to sveže meso.
Nekoč na Zemlji so to bili vojaki, marinci.; Na Zemlji so bili vojaki in marinci, ki so se bojevali za svobodo.
Tukaj pa so bili samo najemniki, ki so delali za denar, za podjetje.; Tu pa so bili najemniki, ki delajo za denar.
Človek, to ni prav.; To ni prav.
Dame in gospodje, ste na Pandori.; Na Pandori ste, gospe in gospodje.
Če pekel obstaja, si lahko tam privoščite dopust, ko končate na Pandori.; Če obstaja pekel, pojdite tja na dopust po Pandori.
Tam zunaj za ograjo vas vsako živo bitje, ki hodi, leti, ali se plazi po blatu, želi ubiti in vas požreti.; Za tisto ograjo so plazeča se, leteča in čepeča bitja, ki vas hočejo ubiti in vam požreti oči.
Imamo tudi inteligentna, humanoidna bitja imenovana Na'vi.; Tu živijo tudi humanoidi, imenovani Na'vi.
Radi uporabljajo puščice namočene v živčni strup, ki vam v minuti ustavi srce.; Puščice namakajo v strup, ki ti v minuti ustavi srce.
Kosti imajo okrepljene z naravnimi ogljikovimi steklenimi vlakni.; Kosti imajo ojačane z naravnimi ogljikovimi vlakni.
Kot vodja varnosti imam nalogo, da vas obdržim žive.; Vodja varnostnikov sem. Moja naloga je, da vas ohranim žive.
Če hočete preživeti, potrebujete močno voljo.; Če hočete preživeti, morate biti psihično trdni.
Ubogati morate pravila.; Ubogajte pravila.
Podoben si mu.; Čisto si mu podoben.
